age,workclass,marital-status,race,sex,native-country
39,State-gov,Never-married,White,Male,United-States
50,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
38,Private,Divorced,White,Male,United-States
53,Private,Married-civ-spouse,Black,Male,United-States
28,Private,Married-civ-spouse,Black,Female,Cuba
37,Private,Married-civ-spouse,White,Female,United-States
49,Private,Married-spouse-absent,Black,Female,Jamaica
52,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
31,Private,Never-married,White,Female,United-States
42,Private,Married-civ-spouse,White,Male,United-States
37,Private,Married-civ-spouse,Black,Male,United-States
30,State-gov,Married-civ-spouse,Asian-Pac-Islander,Male,India
23,Private,Never-married,White,Female,United-States
32,Private,Never-married,Black,Male,United-States
40,Private,Married-civ-spouse,Asian-Pac-Islander,Male,*
34,Private,Married-civ-spouse,Amer-Indian-Eskimo,Male,Mexico
25,Self-emp-not-inc,Never-married,White,Male,United-States
32,Private,Never-married,White,Male,United-States
38,Private,Married-civ-spouse,White,Male,United-States
43,Self-emp-not-inc,Divorced,White,Female,United-States
40,Private,Married-civ-spouse,White,Male,United-States
54,Private,Separated,Black,Female,United-States
35,Federal-gov,Married-civ-spouse,Black,Male,United-States
43,Private,Married-civ-spouse,White,Male,United-States
59,Private,Divorced,White,Female,United-States
56,Local-gov,Married-civ-spouse,White,Male,United-States
19,Private,Never-married,White,Male,United-States
54,*,Married-civ-spouse,Asian-Pac-Islander,Male,South
39,Private,Divorced,White,Male,United-States
49,Private,Married-civ-spouse,White,Male,United-States
23,Local-gov,Never-married,White,Male,United-States
20,Private,Never-married,Black,Male,United-States
45,Private,Divorced,White,Male,United-States
30,Federal-gov,Married-civ-spouse,White,Male,United-States
22,State-gov,Married-civ-spouse,Black,Male,United-States
48,Private,Never-married,White,Male,Puerto-Rico
21,Private,Never-married,White,Male,United-States
19,Private,Married-AF-spouse,White,Female,United-States
31,Private,Married-civ-spouse,White,Male,*
48,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
31,Private,Married-civ-spouse,White,Male,United-States
53,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
24,Private,Married-civ-spouse,White,Male,United-States
49,Private,Separated,White,Female,United-States
25,Private,Never-married,White,Male,United-States
57,Federal-gov,Married-civ-spouse,Black,Male,United-States
53,Private,Married-civ-spouse,White,Male,United-States
44,Private,Divorced,White,Female,United-States
41,State-gov,Married-civ-spouse,White,Male,United-States
29,Private,Never-married,White,Male,United-States
25,Private,Married-civ-spouse,Other,Female,United-States
18,Private,Never-married,White,Female,*
47,Private,Married-civ-spouse,White,Female,Honduras
50,Federal-gov,Divorced,White,Male,United-States
47,Self-emp-inc,Divorced,White,Male,United-States
43,Private,Married-civ-spouse,White,Male,United-States
46,Private,Married-civ-spouse,White,Male,Mexico
35,Private,Married-civ-spouse,White,Male,Puerto-Rico
41,Private,Married-civ-spouse,White,Male,United-States
30,Private,Married-civ-spouse,White,Male,United-States
30,Private,Married-civ-spouse,White,Male,United-States
32,*,Married-spouse-absent,White,Male,*
48,Private,Married-civ-spouse,White,Male,United-States
42,Private,Married-civ-spouse,White,Male,United-States
29,Private,Divorced,White,Male,United-States
36,Private,Married-civ-spouse,White,Male,United-States
28,Private,Divorced,White,Female,United-States
53,Private,Married-civ-spouse,White,Female,United-States
49,Self-emp-inc,Married-civ-spouse,White,Male,United-States
25,*,Never-married,White,Male,United-States
19,Private,Never-married,White,Male,United-States
31,Private,Separated,Black,Female,United-States
29,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
23,Private,Never-married,White,Male,United-States
79,Private,Married-civ-spouse,White,Male,United-States
27,Private,Never-married,White,Male,Mexico
40,Private,Married-civ-spouse,White,Male,United-States
67,*,Married-civ-spouse,White,Male,United-States
18,Private,Never-married,White,Female,United-States
31,Local-gov,Married-civ-spouse,White,Male,United-States
18,Private,Never-married,White,Male,United-States
52,Private,Married-civ-spouse,White,Male,Cuba
